Port,Name,Status,Vlan,Duplex,Speed,Type
Gi1/0/1, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/2, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/3, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/4, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/5, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/6, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/7, ,connected,1,a-full,a-100,10/100/1000BaseTX
Gi1/0/8, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/9, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/10, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/11, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/12, ,connected,1,a-full,a-10,10/100/1000BaseTX
Gi1/0/13, ,err-disabled,1,auto,auto,10/100/1000BaseTX
Gi1/0/14, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/15, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/16, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/17, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/18, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/19, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/20, ,connected,1,a-full,a-10,10/100/1000BaseTX
Gi1/0/21, ,connected,1,a-full,a-100,10/100/1000BaseTX
Gi1/0/22, ,connected,1,a-full,a-100,10/100/1000BaseTX
Gi1/0/23, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/24, ,connected,1,a-full,a-100,10/100/1000BaseTX
Gi1/0/25, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/26, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/27, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/28, ,connected,1,a-full,a-100,10/100/1000BaseTX
Gi1/0/29, ,connected,1,a-full,a-10,10/100/1000BaseTX
Gi1/0/30, ,connected,1,a-full,a-100,10/100/1000BaseTX
Gi1/0/31, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/32, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/33, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/34, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/35, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/36, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/37, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/38, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/39, ,connected,1,a-full,a-100,10/100/1000BaseTX
Gi1/0/40, ,connected,1,a-full,a-1000,10/100/1000BaseTX
Gi1/0/41,PORTA TESTE,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/42,Porta Teste,connected,trunk,a-full,a-1000,10/100/1000BaseTX
Gi1/0/43, ,notconnect,1,auto,auto,10/100/1000BaseTX
Gi1/0/44,AP WIFI,connected,trunk,a-full,a-1000,10/100/1000BaseTX
Gi1/0/45,AP WIFI,connected,trunk,a-full,a-1000,10/100/1000BaseTX
Gi1/0/46,AP WIFI,connected,trunk,a-full,a-1000,10/100/1000BaseTX
Gi1/0/47,AP WIFI,connected,trunk,a-full,a-1000,10/100/1000BaseTX
Gi1/0/48,AP WIFI,notconnect,1,auto,auto,10/100/1000BaseTX
Te1/1/1, ,DEFEITO,disabled,1,full,auto
Te1/1/2, ,UPLINK-LN-R1-LAN-S,connected,trunk,full,10G SFP-10GBase-SR
Te1/1/3, ,notconnect,1,auto,auto,unknown
Te1/1/4, ,notconnect,1,auto,auto,unknown
